in = 00111111001, out = 0011111110011010
in = 00111111010, out = 0011111110100110
in = 00111111011, out = 0011111110101001
in = 00111111100, out = 0011111111000000
in = 00111111101, out = 0011111111001111
in = 00111111110, out = 0011111111110011
in = 00111111111, out = 0011111111111100
in = 01000000000, out = 0100000100010100
in = 01000000001, out = 0100000100011011
in = 01000000010, out = 0100000100100111
in = 01000000011, out = 0100000100101000
in = 01000000100, out = 0100000101000001
in = 01000000101, out = 0100000101001110
in = 01000000110, out = 0100000101110010
in = 01000000111, out = 0100000101111101
in = 01000001000, out = 0100000110000010
in = 01000001001, out = 0100000110001101
in = 01000001010, out = 0100000110110001
in = 01000001011, out = 0100000110111110
in = 01000001100, out = 0100000111010111
in = 01000001101, out = 0100000111011000
in = 01000001110, out = 0100000111100100
in = 01000001111, out = 0100000111101011
in = 01000010000, out = 0100001000010111
in = 01000010001, out = 0100001000011000
in = 01000010010, out = 0100001000100100
in = 01000010011, out = 0100001000101011
in = 01000010100, out = 0100001001000010
in = 01000010101, out = 0100001001001101
in = 01000010110, out = 0100001001110001
in = 01000010111, out = 0100001001111110
in = 01000011000, out = 0100001010000001
in = 01000011001, out = 0100001010001110
in = 01000011010, out = 0100001010110010
in = 01000011011, out = 0100001010111101
in = 01000011100, out = 0100001011010100
in = 01000011101, out = 0100001011011011
in = 01000011110, out = 0100001011100111
in = 01000011111, out = 0100001011101000
in = 01000100000, out = 0100010000010001
in = 01000100001, out = 0100010000011110
in = 01000100010, out = 0100010000100010
in = 01000100011, out = 0100010000101101
in = 01000100100, out = 0100010001000100
in = 01000100101, out = 0100010001001011
in = 01000100110, out = 0100010001110111
in = 01000100111, out = 0100010001111000
in = 01000101000, out = 0100010010000111
in = 01000101001, out = 0100010010001000
in = 01000101010, out = 0100010010110100
in = 01000101011, out = 0100010010111011
in = 01000101100, out = 0100010011010010
in = 01000101101, out = 0100010011011101
in = 01000101110, out = 0100010011100001
in = 01000101111, out = 0100010011101110
in = 01000110000, out = 0100011100010010
in = 01000110001, out = 0100011100011101
in = 01000110010, out = 0100011100100001
in = 01000110011, out = 0100011100101110
in = 01000110100, out = 0100011101000111
in = 01000110101, out = 0100011101001000
in = 01000110110, out = 0100011101110100
in = 01000110111, out = 0100011101111011
in = 01000111000, out = 0100011110000100
in = 01000111001, out = 0100011110001011
in = 01000111010, out = 0100011110110111
in = 01000111011, out = 0100011110111000
in = 01000111100, out = 0100011111010001
in = 01000111101, out = 0100011111011110
in = 01000111110, out = 0100011111100010
in = 01000111111, out = 0100011111101101
in = 01001000000, out = 0100100000010010
in = 01001000001, out = 0100100000011101
in = 01001000010, out = 0100100000100001
in = 01001000011, out = 0100100000101110
in = 01001000100, out = 0100100001000111
in = 01001000101, out = 0100100001001000
in = 01001000110, out = 0100100001110100
in = 01001000111, out = 0100100001111011
in = 01001001000, out = 0100100010000100
in = 01001001001, out = 0100100010001011
in = 01001001010, out = 0100100010110111
in = 01001001011, out = 0100100010111000
in = 01001001100, out = 0100100011010001
in = 01001001101, out = 0100100011011110
in = 01001001110, out = 0100100011100010
in = 01001001111, out = 0100100011101101
in = 01001010000, out = 0100101100010001
in = 01001010001, out = 0100101100011110
in = 01001010010, out = 0100101100100010
in = 01001010011, out = 0100101100101101
in = 01001010100, out = 0100101101000100
in = 01001010101, out = 0100101101001011
in = 01001010110, out = 0100101101110111
in = 01001010111, out = 0100101101111000
in = 01001011000, out = 0100101110000111
in = 01001011001, out = 0100101110001000
in = 01001011010, out = 0100101110110100
in = 01001011011, out = 0100101110111011
in = 01001011100, out = 0100101111010010
in = 01001011101, out = 0100101111011101
in = 01001011110, out = 0100101111100001
in = 01001011111, out = 0100101111101110
in = 01001100000, out = 0100110100010111
in = 01001100001, out = 0100110100011000
in = 01001100010, out = 0100110100100100
in = 01001100011, out = 0100110100101011
in = 01001100100, out = 0100110101000010
in = 01001100101, out = 0100110101001101
in = 01001100110, out = 0100110101110001
in = 01001100111, out = 0100110101111110
in = 01001101000, out = 0100110110000001
in = 01001101001, out = 0100110110001110
in = 01001101010, out = 0100110110110010
in = 01001101011, out = 0100110110111101
in = 01001101100, out = 0100110111010100
in = 01001101101, out = 0100110111011011
in = 01001101110, out = 0100110111100111
in = 01001101111, out = 0100110111101000
in = 01001110000, out = 0100111000010100
in = 01001110001, out = 0100111000011011
in = 01001110010, out = 0100111000100111
in = 01001110011, out = 0100111000101000
in = 01001110100, out = 0100111001000001
in = 01001110101, out = 0100111001001110
in = 01001110110, out = 0100111001110010
in = 01001110111, out = 0100111001111101
in = 01001111000, out = 0100111010000010
in = 01001111001, out = 0100111010001101
in = 01001111010, out = 0100111010110001
in = 01001111011, out = 0100111010111110
in = 01001111100, out = 0100111011010111
in = 01001111101, out = 0100111011011000
in = 01001111110, out = 0100111011100100
in = 01001111111, out = 0100111011101011
in = 01010000000, out = 0101000000000101
in = 01010000001, out = 0101000000001010
in = 01010000010, out = 0101000000110110
in = 01010000011, out = 0101000000111001
in = 01010000100, out = 0101000001010000
in = 01010000101, out = 0101000001011111
in = 01010000110, out = 0101000001100011
in = 01010000111, out = 0101000001101100
in = 01010001000, out = 0101000010010011
in = 01010001001, out = 0101000010011100
in = 01010001010, out = 0101000010100000
in = 01010001011, out = 0101000010101111
in = 01010001100, out = 0101000011000110
in = 01010001101, out = 0101000011001001
in = 01010001110, out = 0101000011110101
in = 01010001111, out = 0101000011111010
in = 01010010000, out = 0101001100000110
in = 01010010001, out = 0101001100001001
in = 01010010010, out = 0101001100110101
in = 01010010011, out = 0101001100111010
in = 01010010100, out = 0101001101010011
in = 01010010101, out = 0101001101011100
in = 01010010110, out = 0101001101100000
in = 01010010111, out = 0101001101101111
in = 01010011000, out = 0101001110010000
in = 01010011001, out = 0101001110011111
in = 01010011010, out = 0101001110100011
in = 01010011011, out = 0101001110101100
in = 01010011100, out = 0101001111000101
in = 01010011101, out = 0101001111001010
in = 01010011110, out = 0101001111110110
in = 01010011111, out = 0101001111111001
in = 01010100000, out = 0101010100000000
in = 01010100001, out = 0101010100001111
in = 01010100010, out = 0101010100110011
in = 01010100011, out = 0101010100111100
in = 01010100100, out = 0101010101010101
in = 01010100101, out = 0101010101011010
in = 01010100110, out = 0101010101100110
in = 01010100111, out = 0101010101101001
in = 01010101000, out = 0101010110010110
in = 01010101001, out = 0101010110011001
in = 01010101010, out = 0101010110100101
in = 01010101011, out = 0101010110101010
in = 01010101100, out = 0101010111000011
in = 01010101101, out = 0101010111001100
in = 01010101110, out = 0101010111110000
in = 01010101111, out = 0101010111111111
in = 01010110000, out = 0101011000000011
in = 01010110001, out = 0101011000001100
in = 01010110010, out = 0101011000110000
in = 01010110011, out = 0101011000111111
in = 01010110100, out = 0101011001010110
in = 01010110101, out = 0101011001011001
in = 01010110110, out = 0101011001100101
in = 01010110111, out = 0101011001101010
in = 01010111000, out = 0101011010010101
in = 01010111001, out = 0101011010011010
in = 01010111010, out = 0101011010100110
in = 01010111011, out = 0101011010101001
in = 01010111100, out = 0101011011000000
in = 01010111101, out = 0101011011001111
in = 01010111110, out = 0101011011110011
in = 01010111111, out = 0101011011111100
in = 01011000000, out = 0101100100000011
in = 01011000001, out = 0101100100001100
in = 01011000010, out = 0101100100110000
in = 01011000011, out = 0101100100111111
in = 01011000100, out = 0101100101010110
in = 01011000101, out = 0101100101011001
in = 01011000110, out = 0101100101100101
in = 01011000111, out = 0101100101101010
in = 01011001000, out = 0101100110010101
in = 01011001001, out = 0101100110011010
in = 01011001010, out = 0101100110100110
in = 01011001011, out = 0101100110101001
in = 01011001100, out = 0101100111000000
in = 01011001101, out = 0101100111001111
in = 01011001110, out = 0101100111110011
in = 01011001111, out = 0101100111111100
in = 01011010000, out = 0101101000000000
in = 01011010001, out = 0101101000001111
in = 01011010010, out = 0101101000110011
in = 01011010011, out = 0101101000111100
in = 01011010100, out = 0101101001010101
in = 01011010101, out = 0101101001011010
in = 01011010110, out = 0101101001100110
in = 01011010111, out = 0101101001101001
in = 01011011000, out = 0101101010010110
in = 01011011001, out = 0101101010011001
in = 01011011010, out = 0101101010100101
in = 01011011011, out = 0101101010101010
in = 01011011100, out = 0101101011000011
in = 01011011101, out = 0101101011001100
