,,,MIN,MAX,AVG
sort3_ w: 5 o: 1400 n: 40 ,995,,,,
sort3_ w: 5 o: 1600 n: 40 ,1341,,,,
sort3_ w: 5 o: 1800 n: 40 ,1112,,,,
sort3_ w: 5 o: 2000 n: 40 ,960,,,,
,,,,,
,,,,,
sort3_ w: 1 o: 0 n: 50 ,366,,324,401,358.1
sort3_ w: 1 o: 200 n: 50 ,333,,,,
sort3_ w: 1 o: 400 n: 50 ,342,,,,
sort3_ w: 1 o: 800 n: 50 ,324,,,,
sort3_ w: 1 o: 1000 n: 50 ,351,,,,
sort3_ w: 1 o: 1200 n: 50 ,352,,,,
sort3_ w: 1 o: 1400 n: 50 ,353,,,,
sort3_ w: 1 o: 1600 n: 50 ,401,,,,
sort3_ w: 1 o: 1800 n: 50 ,363,,,,
sort3_ w: 1 o: 2000 n: 50 ,396,,,,
,,,,,
sort3_ w: 2 o: 0 n: 50 ,610,,538,698,600.3
sort3_ w: 2 o: 200 n: 50 ,548,,,,
sort3_ w: 2 o: 400 n: 50 ,554,,,,
sort3_ w: 2 o: 800 n: 50 ,538,,,,
sort3_ w: 2 o: 1000 n: 50 ,583,,,,
sort3_ w: 2 o: 1200 n: 50 ,613,,,,
sort3_ w: 2 o: 1400 n: 50 ,592,,,,
sort3_ w: 2 o: 1600 n: 50 ,679,,,,
sort3_ w: 2 o: 1800 n: 50 ,588,,,,
sort3_ w: 2 o: 2000 n: 50 ,698,,,,
,,,,,
sort3_ w: 5 o: 0 n: 50 ,1390,,1231,1563,1343.1
sort3_ w: 5 o: 200 n: 50 ,1243,,,,
sort3_ w: 5 o: 400 n: 50 ,1231,,,,
sort3_ w: 5 o: 800 n: 50 ,1241,,,,
sort3_ w: 5 o: 1000 n: 50 ,1237,,,,
sort3_ w: 5 o: 1200 n: 50 ,1314,,,,
sort3_ w: 5 o: 1400 n: 50 ,1308,,,,
sort3_ w: 5 o: 1600 n: 50 ,1559,,,,
sort3_ w: 5 o: 1800 n: 50 ,1345,,,,
sort3_ w: 5 o: 2000 n: 50 ,1563,,,,
